DATE,CSUSHPISA
2006-04-01,184.328
2006-05-01,184.15599999999998
2006-06-01,183.507
2006-07-01,183.067
2006-08-01,182.59400000000002
2006-09-01,182.799
2006-10-01,183.199
2006-11-01,183.61
2006-12-01,184.14
2007-01-01,184.516
2007-02-01,184.59799999999998
2007-03-01,184.15
2007-04-01,183.00900000000001
2007-05-01,181.601
2007-06-01,180.255
2007-07-01,179.112
2007-08-01,178.11900000000003
2007-09-01,177.55900000000003
2007-10-01,176.625
2007-11-01,175.146
2007-12-01,174.342
2008-01-01,173.13299999999998
2008-02-01,171.542
2008-03-01,170.055
2008-04-01,168.33900000000003
2008-05-01,166.65900000000002
2008-06-01,165.018
2008-07-01,163.56799999999998
2008-08-01,161.989
2008-09-01,160.309
2008-10-01,158.328
2008-11-01,156.141
2008-12-01,153.61700000000002
2009-01-01,151.503
2009-02-01,150.01
2009-03-01,148.658
2009-04-01,147.94799999999998
2009-05-01,147.694
2009-06-01,148.088
2009-07-01,148.409
2009-08-01,148.275
2009-09-01,148.02200000000002
2009-10-01,147.847
2009-11-01,148.132
2009-12-01,147.928
2010-01-01,147.395
2010-02-01,145.632
2010-03-01,145.859
2010-04-01,146.399
2010-05-01,146.389
2010-06-01,145.716
2010-07-01,144.987
2010-08-01,143.91
2010-09-01,143.015
2010-10-01,142.528
2010-11-01,142.173
2010-12-01,142.063
2011-01-01,141.52700000000002
2011-02-01,140.355
2011-03-01,139.987
2011-04-01,140.012
2011-05-01,139.905
2011-06-01,139.862
2011-07-01,139.731
2011-08-01,139.308
2011-09-01,138.667
2011-10-01,137.951
2011-11-01,137.151
2011-12-01,136.673
2012-01-01,136.605
2012-02-01,136.53
2012-03-01,137.905
2012-04-01,139.158
2012-05-01,140.159
2012-06-01,141.032
2012-07-01,141.66899999999998
2012-08-01,142.279
2012-09-01,142.909
2012-10-01,143.60299999999998
2012-11-01,144.588
2012-12-01,145.505
2013-01-01,146.835
2013-02-01,147.78
2013-03-01,149.963
2013-04-01,151.52200000000002
2013-05-01,152.857
2013-06-01,154.203
2013-07-01,155.611
2013-08-01,156.975
2013-09-01,158.235
2013-10-01,159.246
2013-11-01,160.075
2013-12-01,160.994
2014-01-01,161.945
2014-02-01,162.531
2014-03-01,163.095
2014-04-01,163.40200000000002
2014-05-01,163.668
2014-06-01,164.06
2014-07-01,164.579
2014-08-01,165.22099999999998
2014-09-01,165.912
2014-10-01,166.648
2014-11-01,167.34099999999998
2014-12-01,168.05700000000002
2015-01-01,168.665
2015-02-01,169.145
2015-03-01,169.81799999999998
2015-04-01,170.31400000000002
2015-05-01,170.894
2015-06-01,171.46900000000002
2015-07-01,172.141
2015-08-01,172.953
2015-09-01,173.845
2015-10-01,174.804
2015-11-01,175.747
2015-12-01,176.549
2016-01-01,177.297
2016-02-01,177.666
2016-03-01,178.19400000000002
2016-04-01,178.80200000000002
2016-05-01,179.46400000000003
