DATE,PRICE_PER_GALLON
2016-08-01,2.284
2016-09-01,2.327
2016-10-01,2.359
2016-11-01,2.295
2016-12-01,2.366
2017-01-01,2.458
2017-02-01,2.416
2017-03-01,2.437
2017-04-01,2.528
2017-05-01,2.503
2017-06-01,2.46
2017-07-01,2.414
2017-08-01,2.494
2017-09-01,2.761
2017-10-01,2.621
2017-11-01,2.678
2017-12-01,2.594
2018-01-01,2.671
2018-02-01,2.705
2018-03-01,2.709
2018-04-01,2.873
2018-05-01,2.987
2018-06-01,2.97
2018-07-01,2.928
2018-08-01,2.914
2018-09-01,2.915
2018-10-01,2.943
2018-11-01,2.736
2018-12-01,2.457
2019-01-01,2.338
2019-02-01,2.393
2019-03-01,2.594
2019-04-01,2.881
2019-05-01,2.946
2019-06-01,2.804
2019-07-01,2.823
2019-08-01,2.707
2019-09-01,2.681
2019-10-01,2.724
2019-11-01,2.693
2019-12-01,2.645
2020-01-01,2.636
2020-02-01,2.533
2020-03-01,2.329
2020-04-01,1.938
2020-05-01,1.961
2020-06-01,2.17
2020-07-01,2.272
2020-08-01,2.272
2020-09-01,2.274
2020-10-01,2.248
2020-11-01,2.2
2020-12-01,2.284
2021-01-01,2.42
2021-02-01,2.587
2021-03-01,2.898
2021-04-01,2.948
2021-05-01,3.076
2021-06-01,3.157
2021-07-01,3.231
2021-08-01,3.255
2021-09-01,3.272
2021-10-01,3.384
2021-11-01,3.491
2021-12-01,3.406
2022-01-01,3.413
2022-02-01,3.611
