,RegionID,RegionName,StateName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
1919,36431,Washington,North Carolina,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135100,130600,112100,117600,102700,106000,100700,121900,132200,128400,116300,114500,121400,133900,138200,136000,130000,125400,142100,145900,148100,109800,108300,109900,121100,115600,108900,111500,116600,130400,134900,135000,130100,130900,131500,130700,137900,154600,153400,151600,138500,141900,145700,144400,132000,131800,142900,160200,170200,155900,138900,131600,139900,166200,163700,166900,153600,135900,125300,127100,145000,165000,162800,176600,166300,169100,153300,163700,172600,177200,155200
1920,34249,Temple Terrace,Florida,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122900,128500,135200,125900,136800,138900,168400,162400,150100,142700,135700,137200,140300,149000,162700,162200,152900,154600,158400,178300,178500,173800,167500,175800,163200,160600,154100,167000,174200,183000,194600,199800,197700,193800,184800,184200,180700,179500,183600,180000,179200,189000,189400,216300,209000,214000,196500,193400,187600,185800,190900,197900,193400,199500,215700,
1921,41884,Dedham,Massachusetts,1922,,,,,,,,,,,,,,,,,,,,,,,,348300,360400,336800,359800,317000,317300,297100,323500,334800,330100,326700,323100,319400,314500,309800,343100,350800,364000,362800,376100,385700,370800,370300,372200,391600,398300,399000,405100,408600,402500,377200,361800,358700,366900,371100,394000,393600,408200,403000,400400,403300,378700,374700,365800,389100,393700,400100,376900,388300,386000,413900,401900,385200,390500,391400,412000,407400,420100,409400,417200,424100,426100,438900,428700,443900,441500,470600,471400,452600,454700,464000,491100,464200,458500,434700,455600,456600,479900,485300,484700,489800,483600,534800,499600,490000,436300,448300,449800,482600,470800,499100,464500,496000,468000,487100,492900,500900,508400,485000,513000
1922,44051,Bastrop,Texas,1923,,,,,,,,,,,,,,,,149000,144400,137400,125800,127000,129100,137600,153300,151600,148300,141000,150500,148900,145600,140000,144100,137700,138700,139700,136000,138000,137400,141900,137000,146600,144900,149800,143000,147300,147800,149100,155800,149300,153400,144100,157900,156400,165900,159200,157100,160100,167500,165800,163500,166500,169800,179700,175000,181200,176900,178600,179100,184300,186200,188700,185500,187600,183200,185500,187400,196300,194800,193300,191200,196800,202500,206500,202800,203600,193800,192700,190300,196200,205800,211200,216800,213300,212000,216100,216600,211800,216800,218400,228000,220800,226100,231700,234200,226200,216800,212800,226600,229500,233700,227800,231600,229300,234900,237500,248400,242100,234800,252500,255800,262500,250500,242600,243100
1923,35861,Muskego,Wisconsin,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234700,240200,205800,194100,193900,228000,223200,218700,224100,230200,240100,234700,237100,221600,230200,256200,259900,253300,220700,240900,240700,256800,250900,263000,270400,271400,277200,260900,250600,236600,241100,236000,240400,251800,256600,254600,249400,265700,249200,243800,229600,251800,257600,249200,240900,241300,245200,253700,255300,260200,248500,257600,262000,295100,301400,310400,295300,269200,262300,252800,251400,255900,269200,295500,323300,329200,347900,328900,331800,309700,307000,310000,299800,292900,274200,277500,274100,291000,293300,305400,321400,324600,333800,323200,324200,316100,318800,325600,320100,340100
1924,18357,Grandview,Missouri,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95700,90100,88800,91700,97500,95000,102600,105400,110000,106300,100400,106800,112800,121700,120100,111800,112600,116600,128900,128700,135200,136100,138100,120400,118900,117000,122700,121200,115700,120400,120700,121700,121600,125000,143000,138300,139300,127700,132700,136800,135000,132300,126500,132400,,
1925,11311,Elmwood Park,Illinois,1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199000,215600,223400,236400,214400,215900,206600,222600,233800,240300,238800,234200,223600,207100,203000,199800,210500,213900,247800,263300,254400,231400,215000,234100,232700,256100,261500,263800,224700,207600,206300
1926,119404,Columbine,Colorado,1927,235400,229200,228600,225900,229100,241700,249900,257600,260500,263700,266700,250200,238000,229200,221600,223300,215200,212800,211400,224700,241900,241900,227700,213500,200800,223900,227700,245300,232800,242400,249500,253100,257200,260400,259700,258400,258000,254100,253200,252900,256600,266800,272000,281300,276500,270300,264800,262200,271100,273400,280100,288400,284500,285300,279500,288500,287900,297700,306500,314000,311100,313800,318000,319500,317900,313400,318700,324200,329600,331300,339200,339000,343700,351100,360100,360800,360400,361100,367200,362200,372300,374800,370800,368400,376100,380400,374400,370700,375600,388000,381500,381100,377900,387100,391200,395500,390500,372700,370400,373700,404900,407700,413200,407600,409700,407800,410400,418000,416300,423500,435300,445800,447600,440600,429400,424600,427400,442600,454700,446300,452500,451000,460000
1927,13105,Onalaska,Wisconsin,1928,166600,181100,186700,173100,160300,152600,166200,160200,162000,158700,173000,178900,168800,150700,141200,146900,152800,162200,157600,158000,151900,154800,178400,184300,198800,172900,167100,160300,167100,165400,149200,157800,167600,178600,169500,161500,158600,157100,161100,164900,169200,164700,159700,158200,170600,169600,169600,160400,166700,167700,164900,154900,167700,176700,185600,177400,173800,171100,162400,160200,151600,163000,160700,166200,158500,163900,172700,172100,166500,171400,180200,211400,212300,212300,200600,203200,202300,200700,199800,208400,222000,218300,208300,193200,198300,200600,193100,198800,205900,206600,199900,193700,199800,204400,214600,213300,204300,206300,213100,218100,209000,203400,204300,211100,209200,212900,219800,227000,231200,224300,233700,233100,243200,229100,225400,209600,203100,202800,220500,257400,273400,269200,248400
1928,53018,Lodi,New Jersey,1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299200,300300,296800,283700,268400,292000,294400,295300,283000,272600,281100,285200,289500,284600,297800,306300,333800,309600,303900,279400,280800,283300,268400,273000,290300,285300,300200,308900,335500,322000,309700,307900,318900,326600,304900,316200,304400,329700,308300,288800,267500,296900,323600,338500,333500,341100,362500,346800,331900,314700,326300,328900,341800,317600,323200,321100,357300,353500,343900,334700,367300,373400,362700,343800,375700,395100,386000,373200,368900,381100,380000,418900,461900
