RegionID,RegionName,StateName,SizeRank,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
37738,Cantonment,Florida,1725,149900,142700,134700,125700,113500,132300,129800,140400,130700,138700,131300,123000,118200,134300,141800,134400,129200,134400,159800,158800,146600,130700,124100,129400,129900,142500,140700,138900,132000,141700,146800,147900,149500,140900,144400,138700,148800,152400,144200,146200,131300,138500,144500,154200,160300,151700,153100,152400,150600,143700,148000,150300,157500,156200,153500,151400,151700,155400,150400,150700,151400,156200,158900,158900,156800,153500,156300,166700,169600,168300,165100,169600,169700,171200,166300,171500,174600,166700,160600,161400,166500,170400,175400,184000,172400,167900,162100,173600,172800,176800,179500,177500,174900,181500,179900,175100,171300,172100,179100,184800,184000,186100,186400,193100,192400,187600,197200,203100,205500,209600,213900
46582,Monroeville,Pennsylvania,1730,128900,127100,124400,118000,114800,123800,129500,127000,122000,115200,114700,112100,119500,125600,125100,129500,128200,132700,124400,125700,121000,114000,110700,108100,119700,119000,132300,125400,124700,118500,120300,119000,118600,120500,117900,117900,131100,134600,131500,116500,116500,117300,119600,126000,127700,130700,123800,125700,134000,126700,127600,116600,123200,121200,123500,127600,130000,126700,135600,136100,133500,123600,123900,131700,130200,128900,124500,122800,121000,114200,123600,124800,137600,124400,123800,125200,141100,143200,141300,127600,131200,131500,141600,140400,137800,134600,133500,134900,140400,148100,149400,148100,141600,140000,141300,140800,146400,151500,149800,151900,151800,160000,159500,153400,147900,141400,148000,150900,153100,149100,150600
54600,Sugar Hill,Georgia,1735,141600,130400,123100,118300,120900,115900,116000,119800,127000,128500,134900,128100,124700,106600,105300,105500,108700,112900,120400,136500,141100,141100,137300,136300,137800,135000,144200,153000,165600,166300,175800,171800,172800,167500,175500,174900,175500,168000,173600,175200,174000,174200,170500,181700,182400,185200,184600,182900,186100,191100,196400,207400,206100,200600,191000,182100,185300,182500,192000,195100,201600,198700,191500,184700,184300,189800,195000,203500,206100,217100,213500,217600,211200,219000,219300,225000,219700,220500,220900,225800,223900,221500,218000,224800,248000,244200,237400,211200,222200,241200,244400,241100,230500,233600,230600,226500,233200,245500,252800,249800,250100,254400,252000,252800,260200,265700,271500,256200,272700,269100,281200
12151,Kahului,Hawaii,1736,370200,347300,331100,347100,374000,381500,364600,355200,342400,351000,348400,342200,325200,341200,350900,374600,354900,353100,326800,331300,310100,310700,298000,361000,395100,384800,359500,346400,362300,349200,367600,381300,398600,402700,423100,430000,417900,394900,375600,374200,395600,411700,391300,388700,392800,413600,420000,411900,415700,432500,460400,472500,477200,476900,476400,468900,471900,487900,476700,476900,448500,468800,471900,519400,517800,564200,549700,566600,512400,523500,524500,541100,529200,524700,524300,542700,552600,573700,573800,580500,572200,567900,574900,594600,626400,635500,638100,580700,572600,560400,622200,646900,663500,655000,600800,592000,601400,643600,635600,648500,650900,666500,649600,654500,648400,645900,638700,660400,645200,640000,463200
42967,Stanton,California,1738,227800,253000,253400,270300,257600,246000,244000,236300,240900,235300,238300,232900,230100,223600,222400,220600,226500,226700,226800,248200,267300,275000,257100,239700,248200,266200,292900,318700,308700,302000,285500,301900,312500,314700,325400,333000,352100,355300,338800,326400,322400,336700,335000,331700,332200,355300,348700,334500,311000,320400,328300,335500,333000,343300,344900,341200,357700,367400,376500,351700,345600,344800,369800,372300,388900,384300,374500,362800,355600,361800,364200,364200,377600,380800,394300,385700,419800,409100,435400,412400,421300,410600,409800,428300,469600,468300,449900,418100,419200,433600,442200,449500,436100,469400,465300,488200,436600,425200,408300,421400,437100,459000,453300,451000,439800,431600,442800,449300,455100,456500,466700
37272,Bardstown,Kentucky,1741,116300,118000,111600,103000,99900,95700,109500,116400,121500,119500,107300,96400,95400,110600,112900,115700,107500,109700,107400,113100,119800,112700,104000,105900,111300,122400,119200,120800,117600,108800,107600,101900,116000,120600,122500,116700,105100,98800,101500,102600,103800,103400,107000,110500,104100,102100,102700,105600,109600,111600,115700,119000,125400,128100,127300,127500,131500,127800,121000,116800,122100,126000,122300,121200,135700,139400,140500,134800,133000,134500,131600,135100,140500,144700,147800,146200,145300,144200,139600,138500,136500,140500,145300,156000,157800,157200,153100,152400,148300,140100,143200,143800,155300,159800,164400,160200,155400,150100,143600,146500,151100,153300,148800,144800,159100,158400,161400,164200,164500,167200,156600
4790,Fountain,Colorado,1743,140300,136700,130800,136400,134100,142500,136900,138400,131200,132300,131800,141300,140900,143100,138800,140500,143100,146200,153300,160900,161400,161200,153000,139900,140100,144700,164600,155800,152500,151800,162500,160000,153200,154500,162100,167600,160900,162000,163200,174800,178200,178800,177300,178200,177600,176700,179800,181300,186700,183500,183500,181700,184600,188900,189900,188900,190200,192900,193500,197600,196600,191600,190600,191000,203000,211400,216300,216000,215000,212700,213600,211300,216900,219700,221200,221800,219600,223100,226900,230000,232700,235600,238700,243200,243200,248900,252700,255000,253700,246000,245700,248700,253300,257000,258900,259400,258700,254800,255600,259400,264200,269800,274200,276600,277800,277000,283300,291600,294800,294300,298800
22544,Poulsbo,Washington,1745,313300,310700,319900,315300,320100,314800,299000,289500,273100,270200,277600,285000,255700,246600,240700,257900,236900,246900,254400,270200,268000,271300,281900,277100,274800,258200,254500,254500,263900,279600,280400,280600,267900,279000,276200,285300,274800,284300,281400,286900,293700,297100,300900,291600,277500,274100,279200,282000,289600,291800,318200,312100,311200,313100,309500,322300,326200,341700,340900,340500,359700,356700,349600,327700,323600,327100,328200,336800,333500,343500,345700,354800,353100,365600,374000,377600,377300,370700,374900,379100,385000,383500,382900,371200,364900,388900,405300,425500,397700,392300,392200,382900,401200,392100,414600,414400,429800,436700,439000,427600,418800,409800,428000,431100,445100,435200,442700,442000,457200,469900,463200
39799,Milton,Massachusetts,1751,508100,419200,414900,390000,433600,449100,459100,503100,489300,478800,431900,432900,439300,506200,535700,510900,426100,397800,416900,465700,486200,486400,461600,440000,427800,411500,460000,499500,505000,460000,448100,491300,491800,493900,473200,492500,524500,530300,523100,479400,458800,455400,485400,518300,541800,533000,541100,518700,526800,546300,562600,601000,537400,541200,483800,517500,531200,598500,610600,614900,586900,609300,550900,562800,574400,644100,616800,604200,584800,595300,573900,590500,599800,609900,605900,602100,611700,613600,621100,612700,609400,641800,668900,672500,649700,639000,654300,657600,671900,671300,699700,694000,706200,685300,691800,786300,815100,792700,666900,643800,658400,690900,693900,718600,737700,734300,705400,665600,675000,682500,781200
16724,Allen Park,Michigan,1753,60000,56900,54000,51800,54900,59800,62100,61200,59300,61300,64800,61300,59200,59800,62400,61500,62400,63100,63500,59600,60200,63200,64800,65600,64100,69100,70800,70100,70700,67700,73900,74200,76500,77600,79500,84400,84700,84400,83300,84900,86600,87100,86600,85700,82900,83600,85500,89900,92100,93000,92100,92500,94900,100900,101600,101200,100000,103400,103600,99800,95000,98600,106200,105800,101700,98300,104700,110400,111800,109400,105300,110500,113700,113900,110300,110600,114300,117100,120600,124100,125200,124400,124500,124800,125700,125700,127800,129600,129500,128600,129100,130300,132100,135800,138300,136500,127000,127400,129300,134700,132300,130800,129400,134500,137700,139700,133300,130400,132200,137900,145400
31666,Fridley,Minnesota,1754,121800,117800,109300,127800,110700,110300,102600,112900,121500,132900,139100,128600,114300,111200,106700,112900,111000,122800,124100,122800,118300,121400,126300,126600,127800,127400,136500,137600,147100,147100,148000,150400,157700,162800,159400,158800,153300,151200,139500,142400,146300,154800,155900,161600,160400,161400,157600,160500,159200,154800,159000,166000,170400,173900,172400,175700,171800,170100,172500,178600,185800,185700,166300,163700,165500,184900,187400,187100,187800,187400,191900,191900,191400,194000,191900,191400,192500,192400,190300,188400,195900,202400,205200,200500,203300,205400,212400,211500,211400,214100,217900,215300,212700,212200,218000,220500,229700,237300,247700,243300,234400,229100,228900,233400,234000,243500,242700,239600,235900,247600,251300
31170,Danvers,Massachusetts,1756,299600,284900,288100,298400,315400,317000,311200,303300,318100,316500,316800,284700,282900,303400,344900,380200,374800,346400,312500,304500,318600,317400,317600,297200,310400,311600,326100,325500,326400,324000,329400,332800,342800,338900,336200,328200,325400,328800,350800,374600,373600,347000,325400,328600,336900,336700,333800,325100,344400,352500,376500,362000,360900,351200,359900,371800,374500,375700,370000,363400,364500,343800,343900,357200,381200,388200,382200,380100,370500,371800,386300,415700,407800,401200,385200,381100,407300,408200,420300,400500,399200,395000,411900,435400,448200,414400,400200,404200,433100,453600,444200,425200,410300,431500,438700,437300,424800,440400,458900,456500,437000,422700,438700,450100,462000,449600,442700,439100,456800,464000,493800
47889,Suisun City,California,1758,166400,164400,169600,175700,174400,169000,163100,160900,152300,156600,161600,168000,168100,164000,161100,162800,160400,169400,167900,176900,170700,176100,177400,186100,189300,195600,197200,197100,205200,210400,218800,219800,229500,236700,244600,253800,255800,256500,272900,279500,283800,276400,282000,284100,281800,280300,283700,280400,280600,285100,292000,296800,289200,291200,293500,299900,298000,299500,300900,306200,313900,320300,320700,320900,323300,327300,329000,332300,331100,336100,342100,350100,356800,349300,355300,353900,363900,363400,362200,360400,365100,369900,372500,374300,380700,377200,383700,384500,399300,398900,399500,404700,403300,401600,392400,391900,385000,381400,389000,398100,409200,406700,407900,408900,410800,413100,417300,419700,419500,409300,415600
23017,Melrose,Massachusetts,1760,344800,376400,373100,401300,379400,359900,336200,352000,364000,388400,377400,392100,330200,347800,337600,394100,359400,350100,345000,385300,358400,356500,339900,354000,356700,362300,407100,408300,379900,365900,373100,410900,407000,416500,417800,459000,455400,453700,419800,383700,379500,389100,439400,442100,438000,411200,409400,397000,422200,420200,420200,394500,406200,420300,441500,449800,436400,435400,434000,455000,454000,456800,448900,466900,476600,503200,495200,489300,491900,509700,522600,531000,514200,533100,539400,554300,548500,528000,522100,509900,534100,532000,529000,536100,560400,613500,623800,647500,599400,588700,562200,577500,580500,583800,585800,566100,560100,533000,560700,599500,611500,594000,561100,584400,600100,606500,603400,571400,560700,511600,551700
14506,Waynesville,North Carolina,1761,188900,180400,169000,161200,162400,155700,154500,157400,144200,138700,133600,144400,149200,162900,163900,160800,145800,144400,147400,168500,167600,173500,149900,162900,156700,159700,147000,143200,152400,159400,160800,161000,166300,183000,186200,185500,155800,146400,146700,160100,160300,142000,144500,146900,154100,167700,168300,163800,155200,166900,178800,163900,162700,157800,170300,163200,164100,157500,155100,161900,164600,173300,161800,168100,155300,168700,180100,203800,195300,184600,176200,176500,180100,185000,191300,196200,197200,201300,195400,197500,198700,205500,207900,204700,193600,194500,199800,219200,217500,218900,205300,196300,196500,192400,199500,212800,221000,213000,198200,206400,218900,215500,218400,224900,245800,242600,227100,220800,225300,224500,233100
52835,Ladera Ranch,California,1762,510900,508300,535100,481800,503500,497600,498400,508100,523300,501400,455900,414800,454900,456700,483000,436400,491200,472900,504500,513600,557400,543700,532800,522400,534500,532200,537500,561900,562300,550000,537600,582600,610000,606300,565700,561800,607800,592300,607600,554400,570400,601900,638200,651400,617700,596400,602100,607200,624100,626300,623500,622500,604600,624500,631400,646200,626600,640800,642800,655300,664400,650800,626500,628100,657600,653500,615700,646100,667300,685300,637300,628900,605700,604700,615600,634200,624000,615400,626300,631600,634300,656900,731600,750500,726100,693300,712000,710900,733600,748000,758600,716400,708300,699900,675100,664900,762300,808700,827500,799300,776400,753800,709100,726900,770900,767800,753500,691900,712900,777300,802800
